Fri Jan 09 2026 10:22:25 GMT-0500 (Eastern Standard Time) - Run Time: 2826ms

Cross Tabulation Query Form - Trip - 2022

Row: 2022 TTS zone of destination - tts22_dest
Column: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 1

Trip 2022 
Table: 

,Transit excluding GO rail,Cycle,Auto driver,E-scooter,GO rail only,Joint GO rail and local transit,Motorcycle,Other,Auto passenger,School bus,Taxi passenger,Paid rideshare,Walk
1313,751,81,2115,16,10,0,26,0,264,0,0,22,0
1314,776,43,2012,0,0,0,54,0,864,0,0,8,500
1315,734,39,4404,0,22,4,14,0,1631,8,38,116,2439
1316,1161,263,5468,0,265,64,191,0,1191,77,0,88,1602
1317,85,0,769,0,0,73,0,0,126,0,0,174,113
1318,538,199,5010,30,68,22,0,23,1772,137,0,115,1406
1319,657,81,4047,74,59,14,0,0,1080,48,0,84,727
1320,490,52,5539,46,0,0,0,0,1028,0,5,117,180
1321,712,22,3063,0,3,12,133,21,1087,72,0,0,338
1322,1694,356,11529,0,58,7,61,0,3429,85,7,117,1358
1323,247,7,1808,0,11,0,0,0,640,16,6,0,186
1324,28,0,136,0,0,0,3,0,56,0,0,0,45
1325,1008,0,1983,0,0,0,11,0,701,187,0,4,234
1326,873,34,3212,0,0,0,0,0,1252,143,0,0,906
1327,946,232,4227,46,0,0,42,0,1792,278,0,0,2217
1328,1447,238,8573,0,48,0,30,0,2446,236,40,45,1564
1329,339,81,1932,0,0,0,0,4,223,0,0,0,12
1330,1549,15,12193,0,11,0,6,12,2543,0,4,152,469
1331,5,24,1622,0,0,0,0,0,263,0,0,0,0
1332,103,5,826,0,0,0,0,0,117,0,0,0,52
1333,2360,19,3007,0,46,15,29,0,606,35,0,46,1466
1334,3713,96,8087,16,0,0,0,0,2496,164,6,51,4070
1335,889,109,3821,0,0,0,0,17,1780,198,0,8,1962
1336,998,58,3004,0,0,16,0,0,1194,49,0,40,2040
1337,1359,12,3799,25,0,0,0,0,1124,34,9,39,1808
1338,647,86,1615,0,0,0,51,0,662,81,44,15,724
1339,523,70,3585,13,0,0,0,0,721,204,21,14,392
1340,467,21,3832,0,0,0,0,0,677,21,8,40,352
1341,135,0,1620,0,0,0,0,0,783,55,0,0,152
1342,340,8,1972,25,0,0,0,0,669,44,0,0,467
1343,366,65,3014,59,0,11,0,0,1325,74,0,0,1481
1344,1086,231,6554,0,0,0,35,0,1843,284,18,54,1017
1345,379,0,2769,23,0,6,0,0,903,3,0,11,365
1346,584,206,5137,0,0,7,0,0,2233,164,73,6,1156
1347,336,9,1885,0,5,0,0,0,678,7,0,20,616
1348,325,80,1477,0,0,19,6,0,677,0,0,0,501
1349,760,0,4778,0,12,6,0,0,1016,75,0,0,492
1350,462,224,2258,0,0,0,0,0,462,0,0,0,398
1351,257,84,2085,0,8,0,0,22,743,166,0,0,234
1352,296,0,834,0,0,0,0,0,70,169,0,0,175
1353,481,45,3136,0,0,5,0,0,716,393,0,96,642
1354,166,40,1276,0,0,5,0,0,371,33,0,22,792
1355,646,33,3412,76,0,0,0,0,719,9,0,26,409
1356,233,191,3323,0,0,4,57,0,1537,63,0,0,417
1357,1622,200,6006,0,71,4,0,0,2970,347,18,7,1369
